2018/8/22,9:37:29
FirmwareVer=DropsondeV2OPC-PCBV4 012ic.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,1.00,4
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
929,390,951,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,4,0,44791,18,247,174,3
1076,390,957,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,4422,2,70,17,0
1215,390,949,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,4173,2,77,16,0
1357,390,950,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,4284,1,188,16,0
1491,390,956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4014,1,174,15,0
1626,390,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4015,0,175,15,0
1759,390,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,140,15,0
1892,390,956,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,3980,2,140,15,0
2026,391,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016,0,176,15,0
2159,390,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,139,15,0
2309,390,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501,0,149,17,0
2444,390,965,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,4054,2,214,15,0
2582,390,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123,0,27,16,0
2716,390,958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,4017,1,177,15,2
2853,390,958,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4126,4,30,16,0
2990,398,955,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054,2,214,15,0
3125,390,950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053,2,213,15,0
3260,390,960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,1,216,15,0
