2018/8/22,9:37:29
FirmwareVer=DropsondeV2OPC-PCBV4 012ic.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,1.00,4
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
943,393,975,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,255,255,4,0,45779,27,211,178,1
1089,391,981,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,4421,9,69,17,0
1228,390,986,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,4172,8,76,16,0
1370,390,982,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,4246,4,150,16,1
1505,389,982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,4048,1,208,15,0
1639,389,981,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,4015,6,175,15,0
1774,389,980,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,4012,6,172,15,0
1908,389,980,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,108,0,0,0,4015,4,175,15,0
2043,388,979,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,4049,1,209,15,0
2179,388,982,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,4051,2,211,15,0
2329,388,974,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,4536,4,184,17,0
2466,389,975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4124,1,28,16,2
2601,389,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054,0,214,15,0
2737,390,974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4051,1,211,15,0
2874,389,1021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,4083,2,243,15,0
3011,390,970,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4121,2,25,16,0
