2018/8/22,9:37:29
FirmwareVer=DropsondeV2OPC-PCBV4 012ic.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,1.00,4
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
951,387,967,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,4,0,46467,9,131,181,0
1096,387,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4359,0,7,17,0
1233,387,970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4135,1,39,16,0
1374,386,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4218,0,122,16,1
1508,386,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982,0,142,15,5
1641,386,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,143,15,1
1774,386,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,141,15,0
1907,386,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982,0,142,15,2
2040,386,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,141,15,2
2173,386,965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,3983,1,143,15,0
2325,386,964,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,4579,2,227,17,0
2463,386,968,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,4127,4,31,16,0
2598,387,966,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,4058,2,218,15,0
2737,387,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4128,0,32,16,0
2871,387,966,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4024,1,184,15,0
3007,388,968,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,4092,4,252,15,0
3145,388,969,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,4127,3,31,16,0
3280,388,967,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,4058,2,218,15,0
3421,388,971,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,4214,3,118,16,0
3558,388,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092,0,252,15,0
3693,387,969,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,4058,2,218,15,1
3831,386,968,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,4130,3,34,16,0
3968,387,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,0,253,15,2
4104,388,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059,0,219,15,0
4239,387,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,0
4425,387,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5737,0,105,22,0
4561,387,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,0
4697,387,975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,1,217,15,0
4833,387,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,0
4968,387,967,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,4055,1,215,15,0
5104,387,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092,0,252,15,0
5240,386,968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,4056,1,216,15,0
5378,390,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129,0,33,16,0
5516,387,963,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,4146,2,50,16,0
5653,387,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,0,253,15,1
5788,387,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,0,217,15,5
5923,387,968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,1,218,15,0
6060,387,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,2
6195,387,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,0
6331,388,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,0,217,15,0
6482,388,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4578,0,226,17,2
6618,388,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061,0,221,15,2
6754,388,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061,0,221,15,3
6889,388,972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059,1,219,15,3
7025,388,971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,4062,1,222,15,0
7161,388,964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,4092,1,252,15,0
7298,387,968,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4094,2,254,15,0
7435,387,967,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,4096,4,0,16,0
7574,388,965,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,4181,2,85,16,0
7709,387,968,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,4060,3,220,15,0
7846,387,977,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4094,2,254,15,0
7983,388,969,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,4094,5,254,15,0
8120,387,967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092,1,252,15,0
8255,387,972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,4061,1,221,15,0
8393,387,969,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,4130,3,34,16,0
8580,388,968,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,5735,3,103,22,1
8717,387,980,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4095,1,255,15,0
8853,388,972,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4098,5,2,16,0
8988,388,967,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,4022,4,182,15,1
9124,387,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,0,16,0
