2018/8/22,9:37:29
FirmwareVer=DropsondeV2OPC-PCBV4 012ic.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,1.00,4
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1011,389,949,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,4,0,48540,14,156,189,1
1160,389,950,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4461,1,109,17,0
1300,389,951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,4212,1,116,16,0
1443,390,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4324,0,228,16,0
1576,390,952,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3983,2,143,15,0
1711,390,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4019,0,179,15,0
1844,390,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,143,15,0
1978,390,954,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,3982,2,142,15,0
2113,391,954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4052,1,212,15,0
2247,390,954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,4017,1,177,15,1
2399,391,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4575,0,223,17,0
2534,391,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,0,217,15,0
2670,391,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059,0,219,15,0
