2018/8/22,9:37:29
FirmwareVer=DropsondeV2OPC-PCBV4 012ic.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,1.00,4
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
871,401,950,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,255,255,4,0,41822,3,94,163,2
1014,402,948,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4318,1,222,16,0
1170,401,947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4729,1,121,18,0
1325,401,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4659,0,51,18,0
1457,401,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,0,105,15,1
1590,401,944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977,1,137,15,2
1723,400,948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976,2,136,15,0
1856,401,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,137,15,1
1989,401,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976,0,136,15,3
2122,400,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,140,15,2
2270,400,945,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4464,2,112,17,2
2406,404,942,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,4056,2,216,15,0
2543,400,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127,0,31,16,0
2677,401,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018,0,178,15,0
2813,403,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,0,215,15,0
2949,402,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
3084,402,941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4057,1,217,15,0
3221,404,949,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4092,1,252,15,0
3362,402,944,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4252,1,156,16,0
3499,403,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091,0,251,15,0
3635,402,948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,4057,1,217,15,0
3772,403,943,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4127,4,31,16,0
3907,403,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,0,215,15,0
4043,403,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
4178,402,941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,4055,1,215,15,0
4366,403,942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,5742,1,110,22,0
4503,403,943,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4126,1,30,16,0
4638,403,941,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,4054,2,214,15,1
4776,401,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126,0,30,16,0
4911,403,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020,0,180,15,0
5046,403,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054,0,214,15,0
5182,403,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
5317,403,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
5457,402,939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,4216,1,120,16,0
5596,401,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127,0,31,16,1
5730,402,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018,0,178,15,0
5865,401,938,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,4058,2,218,15,0
6003,401,944,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,4130,2,34,16,1
6139,392,939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4091,1,251,15,0
6277,401,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092,0,252,15,0
6426,402,941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4544,1,192,17,0
6562,402,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,0,217,15,0
6697,402,939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,4056,1,216,15,0
6836,402,939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,4127,1,31,16,2
6971,402,939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,1,215,15,0
7106,403,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059,0,219,15,0
7242,402,933,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,2,218,15,0
7377,400,937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,1,217,15,0
7518,403,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,0,124,16,1
7654,403,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,2
7789,403,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4059,0,219,15,0
7925,403,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4060,0,220,15,2
8060,403,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,3
8196,403,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,0,215,15,2
8332,404,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,0,215,15,0
8516,404,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5676,0,44,22,0
8651,404,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020,0,180,15,0
8786,404,941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4056,1,216,15,0
8923,404,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,0,253,15,0
9059,403,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
9194,403,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4058,0,218,15,0
9329,403,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,0,215,15,0
9465,403,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
9606,403,937,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4222,2,126,16,1
9742,403,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091,0,251,15,0
9878,403,942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,1,216,15,0
10013,403,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,216,15,0
