2018/11/2,17:0:20
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
28342,205,945,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,2,2,0,1
28882,204,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,0,0,0,0
29422,207,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,0,0,0,0
29977,208,934,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,69,17812,1,1,0,0
30517,208,932,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,67,17327,3,3,0,1
31056,208,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,67,17328,0,0,0,0
31597,208,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,0,0,0,0
32137,208,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,0,0,0,0
32676,208,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,0,0,0,0
33217,208,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,0,0,0,0
33762,208,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,68,17490,0,0,0,4
34300,208,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,67,17293,0,0,0,0
34840,209,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,0,0,0,0
35381,208,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,0,0,0,0
35920,203,938,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,2,2,0,0
36461,196,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,0,0,0,0
37001,196,951,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,2,2,0,10
37592,196,934,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,74,19013,8,8,0,5
38130,191,942,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,107,0,136,67,17288,13,13,0,15
38676,195,942,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,68,17499,13,13,0,8
39217,201,954,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,214,67,17366,12,12,0,14
39760,207,958,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,68,17436,6,6,0,5
40299,204,960,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,143,67,17295,3,3,0,2
40840,209,966,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,4,4,0,7
41384,212,952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,68,17488,1,1,0,2
41923,214,975,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,143,67,17295,3,3,0,1
42463,216,981,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,67,17333,3,3,0,2
43003,217,979,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,67,17327,4,4,0,3
43543,218,998,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,5,5,0,4
44083,219,984,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,5,5,0,7
44623,219,989,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,5,5,0,7
45178,219,1012,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,69,17814,3,3,0,5
45719,221,1001,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,67,17357,9,9,0,8
46260,223,992,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,67,17364,7,7,0,3
46799,224,998,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178,67,17330,6,6,0,6
47340,223,995,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,8,8,0,8
47880,225,994,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,6,6,0,5
48420,224,989,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,10,10,0,5
48967,224,990,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,68,17563,5,5,0,11
49508,223,988,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,67,17365,5,5,0,12
50050,225,982,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,67,17365,7,7,0,6
50589,228,985,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,5,5,0,7
51129,224,982,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,5,5,0,7
51670,225,975,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,9,9,0,4
52209,226,974,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,8,8,0,5
52764,224,971,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,69,17816,6,6,0,10
