2018/11/2,16:38:0
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1269,286,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,210,53788,0,0,0,0
1812,286,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68,17415,0,0,0,0
2352,286,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,67,17340,0,0,0,0
2898,286,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,68,17525,0,0,0,0
3435,286,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,17219,0,0,0,0
3971,286,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,67,17182,0,0,0,0
4506,286,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,17183,0,0,0,0
5042,286,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,17181,0,0,0,0
5576,287,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,17181,0,0,0,0
6112,286,741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,67,17180,1,1,0,0
6663,285,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,17667,0,0,0,1
7199,285,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,67,17214,0,0,0,0
7737,285,741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,67,17251,1,1,0,0
8274,285,742,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,67,17258,3,3,0,1
8813,285,743,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,67,17294,4,4,0,2
9352,285,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,141,67,17293,1,1,0,8
9891,282,741,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,67,17293,7,7,0,31
10436,299,740,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,68,17487,14,14,0,18
10979,297,744,12,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,68,17432,28,28,0,23
11524,296,740,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,68,17467,7,7,0,15
12063,294,740,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178,172,67,17324,4,4,0,3
12605,290,744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,67,17397,1,1,0,7
13145,285,743,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,173,67,17325,4,4,0,5
13684,284,743,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,67,17325,2,2,0,6
14239,285,745,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140,69,17804,5,5,0,6
14779,282,741,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,67,17320,4,4,0,4
15319,284,746,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,175,67,17327,4,4,0,4
15859,281,741,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,3,3,0,6
16399,278,740,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,67,17326,6,6,0,4
16939,278,745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,67,17327,2,2,0,8
17478,276,742,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,2,2,0,5
18024,274,716,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,68,17491,9,9,0,6
18598,275,744,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,72,18463,4,4,0,8
19137,272,748,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,67,17287,10,10,0,9
19679,271,746,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,67,17401,4,4,0,5
20218,271,744,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,67,17329,14,14,0,6
20762,270,749,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,68,17435,6,6,0,6
21301,269,778,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,67,17295,5,5,0,10
21857,269,747,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,69,17853,6,6,0,3
22396,274,747,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,67,17325,7,7,0,6
22937,268,749,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,8,8,0,11
23478,266,750,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,14,14,0,15
