2018/10/24,15:14:32
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1307,304,1023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,35035,1,219,136,4
1854,301,1023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,17554,1,146,68,0
2398,302,1023,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17442,5,34,68,2
2942,302,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17489,0,81,68,2
3477,297,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17147,0,251,66,0
4013,304,1023,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,17182,4,30,67,3
4549,302,1023,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,17219,3,67,67,3
5085,300,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17182,0,30,67,0
5619,299,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17147,0,251,66,0
6154,295,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17182,0,30,67,0
6704,291,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17632,0,224,68,0
7241,293,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17253,0,101,67,1
7779,293,1023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,17253,1,101,67,0
8318,297,1023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,17327,1,175,67,1
