2018/10/24,15:14:32
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID
10,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
29385,254,1023,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17294,19,142,67,17
29980,256,848,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,19115,38,171,74,28
30522,257,830,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,17395,39,243,67,79
31064,257,837,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17392,30,240,67,58
31606,258,854,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,21,34,0,0,17403,45,251,67,26
32149,257,838,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,17436,43,28,68,41
32690,256,845,0,50,3,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,17363,54,211,67,255
33233,257,858,0,47,3,1,0,0,0,0,0,0,0,0,0,0,0,25,36,0,0,17436,51,28,68,45
33779,257,856,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,17525,42,117,68,38
34322,256,854,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,17403,34,251,67,171
34865,256,871,0,53,1,1,0,0,0,0,0,0,0,0,0,0,0,30,58,0,0,17435,55,27,68,119
35407,256,878,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,17436,34,28,68,35
35949,253,871,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,17364,38,212,67,43
36491,254,909,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,17400,47,248,67,42
37033,253,882,0,49,4,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17402,53,250,67,34
37592,254,880,0,32,2,1,0,0,0,0,0,0,0,0,0,0,0,29,46,0,0,17922,35,2,70,34
38132,256,880,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,64,50,0,0,17359,33,207,67,34
38675,256,923,0,34,1,2,0,1,0,0,0,0,0,0,0,0,0,29,63,58,0,17436,38,28,68,40
39219,256,883,0,39,0,1,1,0,0,0,0,0,0,0,0,0,0,62,48,0,0,17436,41,28,68,44
39760,256,892,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,17403,37,251,67,32
40303,257,890,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,17400,33,248,67,32
40845,257,908,0,39,1,1,0,0,0,0,0,0,0,0,0,0,0,24,41,0,0,17400,41,248,67,46
41392,258,892,0,50,1,0,0,1,0,0,0,0,0,0,0,0,0,23,0,53,0,17563,52,155,68,84
41935,257,893,0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,25,39,0,0,17437,52,29,68,141
42478,258,905,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,17437,65,29,68,175
43021,258,903,0,54,1,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0,50,17399,56,247,67,116
43565,257,907,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,17474,76,66,68,147
44108,257,915,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,17438,35,30,68,124
44651,257,905,0,37,2,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,17435,40,27,68,128
45209,257,911,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,17921,48,1,70,152
45786,256,919,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,18520,41,88,72,35
46326,256,911,0,54,1,2,0,0,0,0,0,0,0,0,0,0,0,24,41,0,0,17358,57,206,67,77
46869,256,913,0,49,3,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,17428,52,20,68,103
47412,256,931,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,17403,20,251,67,64
47953,257,914,0,24,1,0,1,0,0,0,0,0,0,0,0,0,0,134,0,0,0,17401,26,249,67,142
48498,256,922,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,17472,35,64,68,111
49044,256,936,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17525,20,117,68,68
49586,256,923,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,17399,20,247,67,93
50128,258,925,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,17402,17,250,67,255
50672,257,958,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,17472,17,64,68,20
51214,256,926,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,223,0,0,0,17365,8,213,67,46
51755,257,928,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,17364,5,212,67,51
52294,257,943,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,17328,5,176,67,51
52851,257,886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,17892,1,228,69,122
53393,259,931,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,17360,2,208,67,255
53934,257,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17365,0,213,67,70
54472,257,940,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17296,2,144,67,3
55011,256,946,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17260,27,108,67,38
55553,252,1023,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,17403,32,251,67,34
56096,255,935,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17440,29,32,68,31
56641,254,936,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,66,34,0,0,17489,38,81,68,83
57183,254,962,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,17404,49,252,67,99
57728,254,948,0,51,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,17473,54,65,68,38
58278,255,944,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17712,33,48,69,41
58820,255,950,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,17355,47,203,67,51
59362,255,938,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,17393,42,241,67,153
59905,256,942,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,17433,39,25,68,28
60462,255,948,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,17881,29,217,69,89
61003,255,941,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,17397,49,245,67,255
61583,254,944,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,18628,24,196,72,43
62125,254,945,0,67,5,1,3,0,0,0,0,0,0,0,0,0,0,106,51,0,0,17396,76,244,67,77
62669,255,964,0,55,2,1,0,0,0,0,0,0,0,0,0,0,0,49,29,0,0,17464,58,56,68,94
63211,255,944,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,17403,25,251,67,57
63755,255,943,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,17435,46,27,68,87
64293,260,960,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,17290,28,138,67,88
64835,255,952,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,17400,21,248,67,16
65378,255,1023,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,17400,26,248,67,38
65921,255,950,0,49,4,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,17437,53,29,68,101
66463,255,945,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,17401,38,249,67,74
67005,254,948,0,49,0,2,0,0,0,0,0,0,0,0,0,0,0,44,36,0,0,17400,51,248,67,255
67564,254,949,0,74,3,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,17955,78,35,70,159
68106,254,951,0,44,2,1,0,1,0,0,0,0,0,0,0,0,0,73,155,46,0,17395,48,243,67,174
68653,254,944,0,37,3,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,17544,40,136,68,95
69194,253,951,0,78,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,37,0,17405,80,253,67,54
69738,254,974,0,55,2,0,0,0,0,0,0,0,1,0,0,0,0,92,0,0,0,17437,58,29,68,136
70280,253,952,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,17404,43,252,67,31
70822,253,947,0,44,2,1,1,0,0,0,0,0,0,0,0,0,0,34,44,0,0,17402,48,250,67,109
71371,253,951,0,54,3,0,1,1,0,0,0,0,0,0,0,0,0,20,0,37,0,17639,59,231,68,41
71915,253,956,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,17439,34,31,68,155
72459,253,952,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,17438,40,30,68,147
73000,254,949,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,17402,59,250,67,211
73544,252,955,0,39,3,0,0,1,0,0,0,0,0,0,0,0,0,56,0,58,0,17439,43,31,68,80
74086,252,953,0,39,2,1,1,0,1,0,0,0,0,0,0,0,0,91,57,0,0,17406,44,254,67,111
74631,252,951,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,17472,62,64,68,148
75187,251,950,0,71,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,17883,75,219,69,197
75730,251,954,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,17429,66,21,68,64
76271,251,950,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,17365,71,213,67,58
76813,251,954,0,61,4,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,17400,65,248,67,48
77356,251,967,0,43,2,1,0,0,0,0,0,0,0,0,0,0,0,19,34,0,0,17403,46,251,67,56
77933,251,1006,0,39,4,0,0,1,0,0,0,0,0,0,0,0,0,21,0,58,0,18558,44,126,72,64
78477,251,947,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,17467,41,59,68,38
79024,252,956,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,17533,31,125,68,71
79565,251,899,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,17403,6,251,67,7
80104,251,933,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,17297,4,145,67,5
80644,250,953,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,17297,2,145,67,8
81182,248,950,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,17297,15,145,67,21
81725,247,951,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,17402,18,250,67,6
82266,247,944,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,17367,7,215,67,10
82821,248,952,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,17820,3,156,69,3
83359,249,952,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,17291,7,139,67,5
83899,250,953,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,17330,6,178,67,60
84441,251,951,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,17369,8,217,67,9
84979,251,958,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,17299,6,147,67,44
85521,250,948,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,17369,4,217,67,57
86062,251,951,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,78,0,186,0,17366,3,214,67,3
86608,250,950,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,17534,10,126,68,255
87151,251,954,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,17437,11,29,68,162
