2018/11/16,8:39:36
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1360,410,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,1,421,0,0,0,0
1895,410,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,66,17146,0,0,0,0
2433,410,621,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,67,17248,3,3,0,0
2972,410,603,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,67,17322,5,5,0,0
3509,410,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,67,17209,0,0,0,0
4044,411,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,67,17174,0,0,0,0
4579,411,617,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,67,17172,6,6,0,0
5114,411,621,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,30,30,0,18
5654,411,619,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,67,17314,3,3,0,7
6191,412,623,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,3,3,0,0
6729,412,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,67,17283,0,0,0,0
7266,412,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,0,0,0,0
7800,412,619,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,6,6,0,0
8336,412,624,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,67,17172,4,4,0,1
8871,412,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,0,0,0,0
9407,412,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,0,0,0,1
9942,412,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,67,17172,0,0,0,0
