2018/11/16,8:55:52
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1061,423,127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,185,47369,2,2,0,0
1598,423,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,67,17218,0,0,0,1
2135,423,124,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,67,17215,5,5,0,0
2674,423,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,67,17322,1,1,0,1
3211,423,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,67,17210,1,1,0,0
3746,422,123,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,67,17174,5,5,0,0
4282,422,118,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,67,17175,7,7,0,0
4816,422,124,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,67,17174,5,5,0,1
5352,422,125,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,5,5,0,9
5888,422,118,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,12,12,0,3
6429,422,125,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,67,17390,4,4,0,6
6966,422,117,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,67,17209,4,4,0,0
7501,422,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,67,17174,2,2,0,0
8037,422,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,17173,2,2,0,0
8572,422,123,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,67,17174,6,6,0,0
