2018/11/16,8:34:35
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
1086,410,780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,188,48242,1,1,0,0
1625,410,779,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,67,17284,2,2,0,0
2162,411,781,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,67,17246,7,7,0,6
2702,411,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,67,17320,0,0,0,0
3238,411,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,17206,0,0,0,0
3774,411,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,0,0,0,0
4308,411,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,0,0,0,0
4844,412,780,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,67,17172,2,2,0,0
5380,413,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,0,0,0,0
5915,412,779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,1,1,0,1
6503,411,737,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,73,18906,5,5,0,0
7040,413,781,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,17206,4,4,0,0
7574,411,779,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,8,8,0,1
8110,411,778,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,12,12,0,8
8648,412,783,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,67,17278,2,2,0,1
9185,412,782,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,67,17207,5,5,0,7
9720,412,784,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,17171,3,3,0,2
10259,414,786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,67,17280,1,1,0,0
10796,412,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,67,17244,0,0,0,0
11332,412,784,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,3,3,0,0
11869,412,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,1,1,0,0
12405,412,782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,2,2,0,0
12942,413,781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,67,17207,1,1,0,0
13478,413,785,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,3,3,0,0
14018,413,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,67,17318,0,0,0,0
14555,413,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,67,17243,0,0,0,0
15091,413,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,0,0,0,0
15628,413,785,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,17208,4,4,0,0
